20
Device Source:1001	USB2+H14197
Integration Begin:1002	350,00
Integration End:1003	800,00
Method:1004	Uses the classic Rectangular method for integration.
Moles of Photons:1013	1,7589E-12
PAR uMoles/m²/sec:1015	9,7114E2
PAR uMoles:1014	1,3924E-6
Photons/cm²/sec:1011	7,3875E16
Total Photons:1012	1,0592E12
dBm:1009	-1,5364E1
eV:1010	2,0708E12
uJoule/cm²:1007	2,6402E2
uJoule:1005	3,3177E-1
uWatt/cm²:1008	2,3140E4
uWatt:1006	2,9077E1

Data from actinica_AbsoluteIrradiance_10-09-15-540.txt Node
Date: Wed Jun 05 10:09:15 UYT 2019
User: fenotipado
Spectrometer: USB2+H14197
Trigger mode: 0
Integration Time (sec): 1,141000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
647,657	124,52
647,991	126,07
648,325	124,33
648,659	124,47
648,993	123,92
649,326	125,51
649,66	126,74
649,994	127,17
650,327	125,66
650,661	126,52
650,995	126,9
651,328	126,42
651,662	127,72
651,995	127,55
652,328	127,73
652,662	127,99
652,995	127,54
653,328	128,96
653,661	127,13
653,994	127,29
654,327	130,33
654,66	127,1
654,993	128,38
655,326	131,17
655,659	129,45
655,992	129,59
656,325	128,97
656,658	132,32
656,99	131,01
657,323	132,54
657,656	131,89
657,988	131,81
658,321	132,41
658,653	132,55
658,986	133,85
659,318	133,61
659,65	133,71
659,983	133,26
660,315	132,41
660,647	134,7
660,979	133,35
661,311	135,03
661,643	134,36
661,975	134,18
662,307	134,94
662,639	134,98
662,971	135,8
663,303	135,49
663,635	134,19
663,966	136,09
664,298	137,09
664,63	137,75
664,961	137,62
665,293	136,64
665,624	138,09
665,956	136,2
666,287	136,97
666,618	137,05
666,95	138,05
667,281	138,8
667,612	138,54
667,943	138,46
668,274	138,75
668,606	138,86
668,937	137,18
669,268	141,33
669,598	139,07
669,929	141,36
670,26	140,14
670,591	140,7
670,922	141,27
671,252	140,54
671,583	141,96
671,914	141,41
672,244	142,25
672,575	142,57
672,905	141,59
673,236	141,31
673,566	140,76
673,896	141,8
674,227	141,4
674,557	143,55
674,887	144,3
675,217	145,07
675,547	143,23
675,877	143,9
676,207	142,88
676,537	144,9
676,867	145,41
677,197	146,15
677,527	147,53
677,857	145,62
678,186	145,81
678,516	145,28
678,846	147,89
679,175	147,44
679,505	147,11
679,834	147,09
680,164	146,85
680,493	148,08
680,822	149
681,152	149,05
681,481	149,94
681,81	147,81
682,139	149,48
682,468	148,64
682,797	150,55
683,126	149,94
683,455	152,2
683,784	151,3
684,113	149,54
684,442	148,54
684,771	148,28
685,099	150,78
685,428	152,4
685,757	150,41
686,085	150,05
686,414	151,29
686,742	152,76
687,071	152,84
687,399	152,02
687,727	150,95
688,056	152,21
688,384	151,21
688,712	150,27
689,04	153,12
689,368	153,03
689,696	151,28
690,024	150,57
690,352	155,79
690,68	151,9
691,008	154,67
691,336	152,62
691,664	151,97
691,991	153,59
692,319	154,14
692,647	152,49
692,974	152,95
693,302	152,81
693,629	152,29
693,957	151,54
694,284	152,55
694,611	151,56
694,939	149,59
695,266	150,65
695,593	153,57
695,92	149,95
696,247	149,75
696,574	151,06
696,901	151,19
697,228	150,21
697,555	149,85
697,882	152,04
698,209	150,23
698,536	150,62
698,862	150,94
699,189	148,94
699,516	148,58
699,842	149,37
700,169	149,2
700,495	151,17
700,822	150,66
701,148	148,55
701,474	146,28
701,801	148,08
702,127	147,58
702,453	149,35
702,779	147,8
703,105	150,97
703,431	150,22
703,757	148,36
704,083	145,88
704,409	147,97
704,735	148,11
705,061	147,23
705,387	149,22
705,712	148,49
706,038	148,8
706,364	145,67
706,689	146,85
707,015	145,69
707,34	145,25
707,666	147,89
707,991	145,13
708,316	143,75
708,642	146,11
708,967	146,98
709,292	144,4
709,617	145,74
709,942	143,68
710,267	143,18
710,592	141,31
710,917	144,21
711,242	142,66
711,567	142,43
711,892	141,8
712,216	140,67
712,541	140,07
712,866	139,23
713,19	138,55
713,515	139,65
713,839	139,68
714,164	137,6
714,488	137,86
714,813	136,15
715,137	134,53
715,461	131,6
715,785	132,64
716,11	133,74
716,434	132,19
716,758	132,18
717,082	132,39
717,406	130,4
717,73	129,43
718,053	130,03
718,377	128,86
718,701	126,61
719,025	126,42
719,348	124,29
719,672	122,87
719,996	122,83
720,319	123,53
720,643	121,12
720,966	118,4
721,289	117,37
721,613	115,84
721,936	116,08
722,259	114,77
722,582	111,64
722,906	110,09
723,229	110,62
723,552	106,99
723,875	106,12
724,198	105,01
724,521	102,23
724,843	100,59
725,166	99,44
725,489	97,08
725,812	95,52
726,134	93,05
726,457	93,57
726,779	87,74
727,102	86,89
727,424	82,82
727,747	81,91
728,069	79,38
728,391	78,2
728,714	74,23
729,036	71,94
729,358	70,24
729,68	66,51
730,002	64,65
730,324	63,33
730,646	58,88
730,968	55,48
731,29	54,12
731,612	50,49
731,934	48,27
732,255	46,28
732,577	44,22
732,899	42,4
733,22	40,14
733,542	38,36
733,863	36,21
734,185	34,24
734,506	33,25
734,827	30,17
735,149	28,58
735,47	27,45
735,791	26,58
736,112	25,36
736,433	24,04
736,754	21,73
737,075	20,87
737,396	19,2
737,717	18,16
738,038	18,43
738,359	17,15
738,679	16,11
739	15,41
739,321	14,2
739,641	13,82
739,962	13,47
740,282	12,47
740,603	12,72
740,923	10,7
741,243	10,41
741,564	10,16
741,884	9,22
742,204	9,18
